tgtE tgtN tgtU tof posE posN posU range velE velN velU u v w speed mach accE accN accU udot vdot wdot ENUToFLU_0_0 ENUToFLU_0_1 ENUToFLU_0_2 ENUToFLU_1_0 ENUToFLU_1_1 ENUToFLU_1_2 ENUToFLU_2_0 ENUToFLU_2_1 ENUToFLU_2_2 alphaRadians betaRadians alphaDegrees betaDegrees phi theta psi phiDot thetaDot psiDot p q r pdot qdot rdot gravity axialGravity sideGravity normalGravity pressure dynamicPressure seekerPitch seekerYaw seekerENUToFLU_0_0 seekerENUToFLU_0_1 seekerENUToFLU_0_2 seekerENUToFLU_1_0 seekerENUToFLU_1_1 seekerENUToFLU_1_2 seekerENUToFLU_2_0 seekerENUToFLU_2_1 seekerENUToFLU_2_2 seekerPitchError seekerYawError seekerWLR seekerWLRD seekerWLR1 seekerWLR1D seekerWLR2 seekerWLR2D seekerWLQ seekerWLQD seekerWLQ1 seekerWLQ1D seekerWLQ2 seekerWLQ2D missileToInterceptRelativePositionForward missileToInterceptRelativePositionLeft missileToInterceptRelativePositionUp guidanceNormalCommand guidanceSideCommand accelerationLimit controlYY controlYYD controlZZ controlZZD rollFinCommand pitchFinCommand yawFinCommand rollFinDeflection pitchFinDeflection yawFinDeflection finOneDeflection finOneDeflectionDerived finOneRate finOneRateDerived finTwoDeflection finTwoDeflectionDerived finTwoRate finTwoRateDerived finThreeDeflection finThreeDeflectionDerived finThreeRate finThreeRateDerived finFourDeflection finFourDeflectionDerived finFourRate finFourRateDerived alphaPrimeRadians alphaPrimeDegrees sinPhiPrime cosPhiPrime rollFinDeflectionDegrees pitchFinDeflectionDegreesAeroBallisticFrame yawFinDeflectionDegreesAeroBallisticFrame totalFinDeflectionDegrees pitchRateDegreesAeroBallisticFrame yawRateDegreesAeroBallisticFrame rollRateDegrees sinOfFourTimesPhiPrime squaredSinOfTwoTimesPhiPrime CA0 CAA CAD CAOFF CYP CYDR CN0 CNP CNDQ CLLAP CLLP CLLDP CLM0 CLMP CLMQ CLMDQ CLNP mass unadjustedThrust transverseMomentOfInertia axialMomentOfInertia centerOfGravityFromNose thrust CX CY CZ CL CM CN CNA CMA CND CMD CMQ CLP CLD staticMargin missDistance lethality launch
3000.0000000000 1952.0000000000 3000.0000000000 0.0040000000 0.0016527036 0.0019696155 0.0030641778 0.0040000000 0.4131434914 0.4923652401 0.7267563355 0.9698711437 0.0000000000 -0.0252152724 1.0000000000 0.0029385836 -0.0081049501 -0.0096591034 -9.8220268973 -7.5322140749 0.0000000000 -6.3038180882 0.4131759112 0.4924038765 0.7660444431 -0.7660444431 0.6427876097 0.0000000000 -0.4924038765 -0.5868240888 0.6427876097 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.8726646260 0.8726646260 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 9.8070000000 -7.5125978537 0.0000000000 -6.3038180882 101469.0000000000 0.6130000000 0.0000000000 0.0000000000 0.4131759112 0.4924038765 0.7660444431 -0.7660444431 0.6427876097 -0.0000000000 -0.4924038765 -0.5868240888 0.6427876097 -0.0306520067 -0.1154490500 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -16.4088082111 -8204.4041055709 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -10.7443530034 -5372.1765016886 4498.8334297965 -521.7059576244 -138.8658843723 -0.0000201466 -0.0000756890 0.0009362559 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 0.0000000000 0.1370000000 0.0000000000 0.0000000000 0.1370000000 0.0000000000 -0.1560000000 0.0840000000 0.0000000000 0.0000000000 -23.1551000000 -1.0520000000 0.0000000000 91.9563000000 0.0000000000 59.8043000000 0.3078000000 1.5357000000 -1.8000000000 0.3430000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 6.8754935416 -11.0485361494 7.8495217933 -60.2751600478 -1326.6895042034 -8.9381416040 4.8128454791 1.6069444444 4531.1105778956 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0080000000 0.0033052776 0.0039390765 0.0059712031 0.0078807955 0.4588169553 0.5467967548 0.7722089947 1.0503633646 0.0000000000 -0.0504303809 0.9701988690 0.0028510105 11.4183659861 13.6078786855 11.3631647970 20.1230552351 0.0000000000 -6.3037771471 0.4131759112 0.4924038765 0.7660444431 -0.7660444431 0.6427876097 0.0000000000 -0.4924038765 -0.5868240888 0.6427876097 0.0259927245 0.0000000000 1.4892734117 0.0000000000 0.0000000000 0.8726646260 0.8726646260 0.0000000000 0.0000000000 -0.0000000000 0.0000000000 -0.0000000617 0.0000000000 0.0000000000 -0.0000154146 0.0000000000 9.8070000000 -7.5125978537 0.0000000000 -6.3038180882 101469.0000000000 0.5770082232 -0.0000429774 -0.0000656352 0.4132473516 0.4923869057 0.7660168154 -0.7660173226 0.6428199273 0.0000502795 -0.4923861167 -0.5868029279 0.6428205317 -0.0306429578 -0.1154142695 -0.0000656352 -0.0328176164 -0.0328176164 -16.4088082111 -37.3493586133 -2265.8710954974 -0.0000429774 -0.0214887060 -0.0214887060 -10.7443530034 -21.2201515588 134.2772239904 4498.8875281354 -521.8536022965 -139.0205661892 -0.0000027960 -0.0000712956 0.0008410499 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0259927245 1.4892734117 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0084392160 0.1355107266 0.3574256188 0.0104249139 0.1355107266 -0.0005957094 -0.1569928489 0.0844964245 -0.5743631124 -0.0496424471 -23.1551000000 -1.0395893882 0.0416996555 91.8826360000 2541.0400000000 59.7999640000 0.3078000000 1.5355560000 2539.2400000000 0.3179802067 0.0000000000 0.3574256188 0.0000000000 -0.5747008374 0.0000000000 10.5588655394 -13.2912906506 7.7641927123 -59.5640843725 -1326.6895042034 -8.9950276581 4.8412885061 1.2587801787 4531.1860357820 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0120000000 0.0051405454 0.0061262635 0.0090600391 0.0120870887 0.5502696202 0.6557857968 0.9025383966 1.2416541437 0.0000000000 -0.0756452979 1.0515733075 0.0030901361 22.8631662279 27.2472604901 32.5823504785 47.8226947557 -0.0000000000 -6.3037293081 0.4131759113 0.4924038767 0.7660444430 -0.7660444431 0.6427876097 0.0000000000 -0.4924038764 -0.5868240887 0.6427876099 0.0479754776 0.0000000000 2.7487923845 0.0000000000 0.0000000000 0.8726646258 0.8726646260 0.0000000000 -0.0000000617 -0.0000000000 -0.0000000000 -0.0000001954 -0.0000000000 -0.0000000000 -0.0000334458 -0.0000000000 9.8070000000 -7.5125978537 0.0000000000 -6.3038180882 101469.0000000000 0.6778593361 -0.0002567901 -0.0004119384 0.4136178700 0.4922897203 0.7658792914 -0.7658741751 0.6429903952 0.0003155631 -0.4922976798 -0.5866976930 0.6429843011 -0.0305977260 -0.1152305748 -0.0004119384 -0.1403339501 -0.1403339501 -37.3493586133 -41.1130623071 384.0192485948 -0.0002567901 -0.0854176535 -0.0854177151 -21.2201515588 -17.9593297899 1496.1336604632 4499.1824794437 -522.6327241323 -139.7901922099 0.0000126789 -0.0000838543 0.0009481342 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0479754776 2.7487923845 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000035328 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0155764902 0.1342512076 0.6597101723 0.0192415467 0.1342512076 -0.0010995170 -0.1578325283 0.0849162641 -1.0601175963 -0.0916264128 -23.1551000000 -1.0290933968 0.0769661868 91.8089720000 5082.0800000000 59.7956280000 0.3078000000 1.5354120000 5080.2800000000 0.2968202879 -0.0000000000 0.6597101723 -0.0000000000 -1.0613583651 -0.0000000000 13.6739932781 -15.1954750626 7.6920275909 -58.9627083612 -1326.6895042034 -9.0431377390 4.8653435466 1.1112682852 4531.5923520883 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0160000000 0.0073416239 0.0087494067 0.0126701927 0.0170629138 0.6875749468 0.8194199130 1.1178808814 1.5439213842 -0.0000000000 -0.1008599318 1.2439562788 0.0036554695 34.3263316467 40.9085290605 53.8356211937 75.5668101055 0.0000000000 -6.3036587788 0.4131759117 0.4924038771 0.7660444425 -0.7660444431 0.6427876097 -0.0000000000 -0.4924038761 -0.5868240883 0.6427876105 0.0608477952 0.0000000000 3.4863218586 0.0000000000 -0.0000000000 0.8726646250 0.8726646260 -0.0000000000 -0.0000001954 0.0000000000 -0.0000000000 -0.0000004134 -0.0000000000 0.0000000000 -0.0000544964 0.0000000000 9.8070000000 -7.5125978521 0.0000000000 -6.3038180900 101469.0000000000 0.9485728881 -0.0007551784 -0.0012871238 0.4145332975 0.4920191384 0.7655581707 -0.7655120001 0.6434208618 0.0009859938 -0.4920909702 -0.5864526937 0.6433659263 -0.0304919212 -0.1147671011 -0.0012871238 -0.2972587919 -0.2972587919 -41.1130623071 -37.6209404384 1362.0416857466 -0.0007551784 -0.1637764824 -0.1637766778 -17.9593297899 -12.1116914280 1427.6855204705 4499.9065421450 -524.6026261291 -141.5848786664 0.0000305176 -0.0001176934 0.0012927240 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0608477952 3.4863218586 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000111980 -0.0000000000 -0.0000000000 0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0340212651 0.1348105364 0.8459573614 0.0399665525 0.1348105364 -0.0012810536 -0.1588105364 0.0854863219 -1.2333525318 -0.2168793534 -23.1551000000 -1.0326737550 0.1958540275 91.7353080000 7623.1200000000 59.7912920000 0.3078000000 1.5352680000 7621.3200000000 0.2844297928 0.0000000000 0.8459573614 0.0000000000 -1.2357346380 0.0000000000 14.4973123659 -15.5610334055 7.7240747714 -59.1678477764 -1326.6895042034 -9.0991734797 4.8980054486 1.0733736718 4532.5945198360 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0200000000 0.0100919237 0.0120270863 0.0171417162 0.0232517631 0.8708065405 1.0377868232 1.4183731373 1.9573434010 -0.0000000000 -0.1260741393 1.5472123210 0.0045466128 45.8078984346 54.5917275286 75.1230639746 103.3555041489 0.0000000000 -6.3035526977 0.4131759125 0.4924038781 0.7660444414 -0.7660444431 0.6427876097 -0.0000000000 -0.4924038754 -0.5868240875 0.6427876117 0.0652344228 -0.0000000000 3.7376571056 -0.0000000000 -0.0000000000 0.8726646233 0.8726646260 -0.0000000000 -0.0000004134 0.0000000000 -0.0000000000 -0.0000007617 -0.0000000000 0.0000000000 -0.0000870747 0.0000000000 9.8070000000 -7.5125978472 0.0000000000 -6.3038180959 101469.0000000000 1.4674398374 -0.0015305680 -0.0027910950 0.4160655732 0.4915054793 0.7650567316 -0.7648882476 0.6441594502 0.0021381001 -0.4917676357 -0.5860724925 0.6439593356 -0.0303266063 -0.1139725330 -0.0027910950 -0.4547267974 -0.4547267974 -37.6209404384 -31.7599322717 1568.4623975892 -0.0015305680 -0.2239183068 -0.2239187203 -12.1116914280 -7.2233985779 1016.4609045583 4501.0967156320 -527.9906505894 -144.3791949712 0.0000531863 -0.0001830760 0.0019824393 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0652344228 3.7376571056 -0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000236876 -0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0428179987 0.1352294285 0.9110531903 0.0497686271 0.1352294285 -0.0013229429 -0.1592294285 0.0857376571 -1.2728121656 -0.2772835910 -23.1551000000 -1.0356059996 0.2536611343 91.6616440000 10164.1600000000 59.7869560000 0.3078000000 1.5351240000 10162.3600000000 0.2802073606 0.0000000000 0.9110531903 0.0000000000 -1.2762285032 0.0000000000 14.6017156204 -15.5615258244 7.7480755195 -59.3358530135 -1326.6895042034 -9.1231742279 4.9124058975 1.0657327008 4534.2575050965 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0240000000 0.0135751499 0.0161782336 0.0228152088 0.0310973610 1.1000381469 1.3109744136 1.8041521924 2.4820989093 -0.0000000000 -0.1512877241 1.9613994693 0.0057637363 57.3079015911 68.2968976052 96.4447637778 131.1888769679 0.0000000000 -6.3033980778 0.4131759140 0.4924038799 0.7660444394 -0.7660444431 0.6427876097 -0.0000000000 -0.4924038741 -0.5868240860 0.6427876141 0.0643219895 -0.0000000000 3.6853785297 -0.0000000000 -0.0000000000 0.8726646203 0.8726646260 -0.0000000000 -0.0000007617 0.0000000000 -0.0000000000 -0.0000013182 -0.0000000000 0.0000000000 -0.0001391305 0.0000000000 9.8070000000 -7.5125978368 0.0000000000 -6.3038181083 101469.0000000000 2.3582648692 -0.0025035809 -0.0048875257 0.4181464896 0.4907239951 0.7644236220 -0.7640158937 0.6451865593 0.0037440470 -0.4913585528 -0.5855973568 0.6447034266 -0.0301181672 -0.1128678679 -0.0048875257 -0.5934885428 -0.5934885428 -31.7599322717 -25.6957669758 1463.6202503981 -0.0025035809 -0.2625881385 -0.2625889003 -7.2233985779 -3.9230982473 633.6892607652 4502.6743258403 -532.7189565668 -147.8897386318 0.0000812055 -0.0002965385 0.0031948219 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0643219895 3.6853785297 -0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000436437 -0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0409882485 0.1351422975 0.8975130392 0.0477297627 0.1351422975 -0.0013142298 -0.1591422975 0.0856853785 -1.2646044292 -0.2647193066 -23.1551000000 -1.0349960828 0.2416370618 91.5879800000 12705.2000000000 59.7826200000 0.3078000000 1.5349800000 12703.4000000000 0.2810856407 0.0000000000 0.8975130392 0.0000000000 -1.2688053876 0.0000000000 14.5799993927 -15.5780490586 7.7430832833 -59.3009073597 -1326.6895042034 -9.1181819916 4.9094105557 1.0684533407 4536.4894958613 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0280000000 0.0179753024 0.0214221313 0.0300318175 0.0410441820 1.3753436469 1.6390707322 2.2753554058 3.1183670136 -0.0000000000 -0.1765004354 2.4867052441 0.0073073913 68.8263749948 82.0240796653 117.8008033517 159.0670258334 0.0000000000 -6.3031819485 0.4131759166 0.4924038830 0.7660444360 -0.7660444431 0.6427876097 -0.0000000000 -0.4924038720 -0.5868240834 0.6427876181 0.0608762169 -0.0000000000 3.4879502987 -0.0000000000 -0.0000000000 0.8726646150 0.8726646260 -0.0000000000 -0.0000013182 0.0000000000 -0.0000000000 -0.0000021914 -0.0000000000 0.0000000000 -0.0002182830 0.0000000000 9.8070000000 -7.5125978176 0.0000000000 -6.3038181312 101469.0000000000 3.7906099213 -0.0035985183 -0.0074913027 0.4206721458 0.4896833274 0.7637049067 -0.7629277513 0.6464582853 0.0057386171 -0.4908932594 -0.5850657435 0.6455399939 -0.0298825027 -0.1114994360 -0.0074913027 -0.7083999413 -0.7083999413 -25.6957669758 -20.2442477203 1262.1393773409 -0.0035985183 -0.2848805757 -0.2848818939 -3.9230982473 -1.9256889077 365.0154090159 4504.5363435928 -538.6001736670 -151.8460143137 0.0001129407 -0.0004813328 0.0051780348 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0608762169 3.4879502987 -0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000755301 -0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0340782605 0.1348132505 0.8463791274 0.0400300617 0.1348132505 -0.0012813250 -0.1588132505 0.0854879503 -1.2336081969 -0.2172707218 -23.1551000000 -1.0326927535 0.1962285687 91.5143160000 15246.2400000000 59.7782840000 0.3078000000 1.5348360000 15244.4400000000 0.2844024350 0.0000000000 0.8463791274 0.0000000000 -1.2383529751 0.0000000000 14.4979888108 -15.6020438649 7.7242302760 -59.1689363085 -1326.6895042034 -9.0993289843 4.8980987513 1.0761522904 4539.1623709540 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0320000000 0.0234766770 0.0279784142 0.0391332391 0.0535376140 1.6967970541 2.0221639851 2.8321204565 3.8663271961 -0.0000000000 -0.2017119701 3.1233580062 0.0091782486 80.3633518070 95.7733132288 139.1912626692 186.9900451748 0.0000000000 -6.3028921512 0.4131759209 0.4924038881 0.7660444304 -0.7660444431 0.6427876097 -0.0000000000 -0.4924038683 -0.5868240791 0.6427876248 0.0565399511 -0.0000000000 3.2395005720 -0.0000000000 -0.0000000000 0.8726646062 0.8726646260 -0.0000000000 -0.0000021914 0.0000000000 -0.0000000000 -0.0000035259 -0.0000000000 0.0000000000 -0.0003336381 0.0000000000 9.8070000000 -7.5125977843 0.0000000000 -6.3038181708 101469.0000000000 5.9800388891 -0.0047614340 -0.0105086625 0.4235428223 0.4884105897 0.7629328762 -0.7616602993 0.6479265288 0.0080499543 -0.4903927673 -0.5845051831 0.6464275866 -0.0296311314 -0.1099175848 -0.0105086625 -0.8002799707 -0.8002799707 -20.2442477203 -15.6131550625 1053.4069515237 -0.0047614340 -0.2965772769 -0.2965794682 -1.9256889077 -0.7958773052 199.8903922296 4506.5889133676 -545.4269069432 -156.0551666784 0.0001443897 -0.0007679250 0.0082521699 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0565399511 3.2395005720 -0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0001255568 -0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0253825200 0.1343991676 0.7820306482 0.0303405223 0.1343991676 -0.0012399168 -0.1583991676 0.0852395006 -1.1946015898 -0.1575599708 -23.1551000000 -1.0297941733 0.1390851316 91.4406520000 17787.2800000000 59.7739480000 0.3078000000 1.5346920000 17785.4800000000 0.2885763904 0.0000000000 0.7820306482 0.0000000000 -1.1997031476 0.0000000000 14.3947841853 -15.6285044194 7.7005050747 -59.0028598996 -1326.6895042034 -9.0756037830 4.8838636306 1.0857060598 4542.1566859755 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0360000000 0.0302638653 0.0360670701 0.0504617210 0.0690239557 2.0644725116 2.4603425325 3.4745853325 4.7261593054 -0.0000000000 -0.2269219719 3.8715854254 0.0113769774 91.9188643769 109.5446368484 160.6162190061 214.9580265459 0.0000000000 -6.3025171073 0.4131759278 0.4924038964 0.7660444213 -0.7660444431 0.6427876097 -0.0000000000 -0.4924038625 -0.5868240722 0.6427876356 0.0521242118 -0.0000000000 2.9864973474 -0.0000000000 -0.0000000000 0.8726645921 0.8726646260 -0.0000000000 -0.0000035259 0.0000000000 -0.0000000000 -0.0000055038 -0.0000000000 0.0000000000 -0.0004944761 0.0000000000 9.8070000000 -7.5125977291 0.0000000000 -6.3038182367 101469.0000000000 9.1883634817 -0.0059586267 -0.0138532120 0.4266746224 0.4869403141 0.7621272184 -0.7602473074 0.6495470888 0.0106118365 -0.4898701850 -0.5839329670 0.6473403215 -0.0293714100 -0.1081683242 -0.0138532120 -0.8719947763 -0.8719947763 -15.6131550625 -11.7696033791 868.3688902112 -0.0059586267 -0.3020190747 -0.3020226007 -0.7958773052 -0.1830657565 106.5153821306 4508.7559328854 -553.0074353399 -160.3965983282 0.0001689698 -0.0011945184 0.0128094564 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000117726 -0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0002354514 -0.1177256984 0.0000000000 0.0000000000 -0.0002354514 -0.1177256984 0.0000000000 0.0000000000 -0.0002354514 -0.1177256984 0.0000000000 0.0000000000 -0.0002354514 -0.1177256984 0.0521242118 2.9864973474 -0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0002020211 -0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0169234850 0.1340135027 0.7167593634 0.0209054814 0.1340135027 -0.0011945989 -0.1579909982 0.0849954991 -1.1517924770 -0.0995499116 -23.1551000000 -1.0271125221 0.0836219257 91.3669880000 20328.3200000000 59.7696120000 0.3078000000 1.5345480000 20326.5200000000 0.2928268446 0.0000000000 0.7167593634 0.0000000000 -1.1571184324 0.0000000000 14.2619013125 -15.6338176284 7.6784080998 -58.8492126016 -1326.6895042034 -9.0522173997 4.8698833769 1.0961944895 4545.3739510216 FLYING 1
3000.0000000000 1952.0000000000 3000.0000000000 0.0400000000 0.0385217553 0.0459084403 0.0643600623 0.0879503712 2.4784442682 2.9536948607 4.2028883467 5.6980435454 -0.0000000000 -0.2521299880 4.7316038889 0.0139042136 103.4929391430 123.3380820318 182.0757535541 242.9710585933 0.0000000000 -6.3020353931 0.4131759387 0.4924039093 0.7660444072 -0.7660444431 0.6427876097 -0.0000000000 -0.4924038534 -0.5868240613 0.6427876525 0.0479771883 -0.0000000000 2.7488904000 -0.0000000000 -0.0000000000 0.8726645701 0.8726646260 -0.0000000000 -0.0000055038 0.0000000000 -0.0000000000 -0.0000082247 -0.0000000000 0.0000000000 -0.0006802062 0.0000000000 9.8070000000 -7.5125976401 0.0000000000 -6.3038183427 101469.0000000000 13.7238901967 -0.0071706148 -0.0174507221 0.4300002118 0.4853078688 0.7612989493 -0.7587179528 0.6512821063 0.0133673499 -0.4893331032 -0.5833591436 0.6482632364 -0.0291077305 -0.1062909361 -0.0174507221 -0.9267602932 -0.9267602932 -11.7696033791 -8.6060764977 713.3945504851 -0.0071706148 -0.3039749829 -0.3039804868 -0.1830657565 0.1434251993 56.7300957641 4510.9784095025 -561.1764501916 -164.8004428170 0.0001773034 -0.0018075776 0.0193042145 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000150815 -0.0000000000 0.0000000000 -0.0000004709 0.0000000000 -0.0000004709 -0.0002354514 -0.0006971874 -0.1131422845 -0.0000004709 -0.0002354514 -0.0006971874 -0.1131422845 -0.0000004709 -0.0002354514 -0.0006971874 -0.1131422845 -0.0000004709 -0.0002354514 -0.0006971874 -0.1131422845 0.0479771883 2.7488904000 -0.0000000000 1.0000000000 0.0000000000 -0.0000269807 0.0000000000 0.0000134904 -0.0003153467 -0.0000000000 -0.0000000000 -0.0000000000 0.0000000000 0.3430000000 -0.0168000000 0.0058000000 0.0000000000 -0.0155770456 0.1342511096 0.6597336960 0.0192422328 0.1342511096 -0.0010995562 -0.1578325936 0.0849162968 -1.0601553976 -0.0916296800 -23.1551000000 -1.0290925800 0.0769689312 91.2933240000 22869.3600000000 59.7652760000 0.3078000000 1.5344040000 22867.5600000000 0.2968186413 0.0000000000 0.6597300738 0.0000000000 -1.0656203419 0.0000000000 13.6742356966 -15.2860662330 7.6920219750 -58.9626615622 -1326.6895042034 -9.0431414829 4.8653454185 1.1178735377 4548.7365724122 FLYING 1
