TIME COMMAND DEFL
0.0 0.0 0.0
0.008 0.0 0.0
0.016 0.0 0.0
0.024 0.0 0.0
0.032 -3.2281391884266796e-06 0.0
0.04 -6.622832792214889e-06 -5.165022701482688e-07
0.048 -3.5441608966824517e-07 -2.7537806928407044e-06
0.056 -2.8506698635412745e-06 -5.535571628244339e-06
0.064 -6.92487211263056e-06 -5.286315651277156e-06
0.07200000000000001 -1.4088161019620278e-05 -2.6379422301895303e-06
0.08000000000000002 -2.319343697966147e-05 -3.539030063602116e-06
0.08800000000000002 -3.413822894564639e-05 -1.2489541979116605e-05
0.09600000000000003 -4.687085822819655e-05 -2.7508393169324614e-05
0.10400000000000004 -6.134873401065565e-05 -4.227468036560656e-05
0.11200000000000004 -7.753583775023001e-05 -5.3072917382145776e-05
0.12000000000000005 -9.54129329386745e-05 -6.267077967423383e-05
0.12800000000000006 -0.00011497540601380331 -7.696555397679593e-05
0.13600000000000007 -0.00013621327243100158 -9.835358441578962e-05
0.14400000000000007 -0.00015909396875450022 -0.00012321869145609884
0.15200000000000008 -0.00018356985482783798 -0.00014611876236653165
0.1600000000000001 -0.00020960445120106686 -0.0001658001472362803
0.1680000000000001 -0.00023718693085475758 -0.0001863689994588554
0.1760000000000001 -0.0002796603209671683 -0.00021253813999561427
0.1840000000000001 -0.00031681656595153204 -0.0002465439802236493
0.19200000000000012 -0.00035562039362768585 -0.0002877054118741026
0.20000000000000012 -0.0003959940340118653 -0.0003308663447415469
0.20800000000000013 -0.0004378583580287872 -0.00037020359163982735
0.21600000000000014 -0.00048116811414778955 -0.0004058738781386107
0.22400000000000014 -0.0005259273355314793 -0.00044365697922422504
0.23200000000000015 -0.000572140083008346 -0.0004883883584169081
0.24000000000000016 -0.0006197519894076131 -0.0005386854963681647
0.24800000000000016 -0.0006686516203123588 -0.0005887011124835476
0.25600000000000017 -0.0007187342554531591 -0.0006346752212814758
0.2640000000000002 -0.0007699578317141908 -0.0006788993309869505
0.2720000000000002 -0.0008223263954811828 -0.0007268727706344264
0.2800000000000002 -0.0008758174580760595 -0.0007810763283199174
0.2880000000000002 -0.0009303350045271955 -0.0008383338683272501
0.2960000000000002 -0.0009857432471339158 -0.0008934831169160393
0.3040000000000002 -0.0010419452317104298 -0.0009450451290708258
0.3120000000000002 -0.001098917972015987 -0.0009965962750932583
0.32000000000000023 -0.0011566632193516092 -0.0010525451777236182
0.32800000000000024 -0.0012151283015515682 -0.0011131998992065027
0.33600000000000024 -0.0012741866302672744 -0.0011745543803897745
0.34400000000000025 -0.0013337011761247418 -0.0012328008434712983
0.35200000000000026 -0.0013936003634129003 -0.001288405695325098
0.36000000000000026 -0.0014538808617025076 -0.0013453142241386666
0.36800000000000027 -0.001514533606069383 -0.0014063922688013714
0.3760000000000003 -0.0015754761338221518 -0.0014702729171947222
0.3840000000000003 -0.0016365677206338714 -0.001532985102073049
0.3920000000000003 -0.0016976907555280266 -0.0015923461625726271
0.4000000000000003 -0.0017588071165584105 -0.0016501802931332943
0.4080000000000003 -0.0018199263421979533 -0.001710048897163702
0.4160000000000003 -0.0018810215959844986 -0.0017732000793974892
0.4240000000000003 -0.002033316504906723 -0.0018372526981362276
0.43200000000000033 -0.002111711206231068 -0.0019135246739269542
0.44000000000000034 -0.0021895998909851368 -0.0020229165827703186
0.44800000000000034 -0.002266532509946877 -0.0021497959449535585
0.45600000000000035 -0.0023415408662598868 -0.002248089749558231
0.46400000000000036 -0.0024140474941945576 -0.0022992637895461704
0.47200000000000036 -0.002484757229818693 -0.00233368343704945
0.48000000000000037 -0.00255494653221829 -0.0023960253905604746
0.4880000000000004 -0.0026250512736283723 -0.002496317236598639
0.4960000000000004 -0.0026941775429537773 -0.002601158172987595
0.5040000000000003 -0.0027610867266687623 -0.0026726301249267175
0.5120000000000003 -0.0028255432132561916 -0.002709883559994779
0.5200000000000004 -0.0028885219529210067 -0.002747945534612687
0.5280000000000004 -0.0029510672643501073 -0.002817487252058162
0.5360000000000004 -0.0030130990274206504 -0.0029116337022953424
0.5440000000000004 -0.003073495155342835 -0.0029955870615130382
0.5520000000000004 -0.0031313320005001547 -0.0030461115284555807
0.5600000000000004 -0.003186879530259019 -0.0030761287303211057
0.5680000000000004 -0.0032412523527592116 -0.00311849857171121
0.5760000000000004 -0.010668775891034462 -0.0031890478053531062
0.5840000000000004 -0.01029202160489893 -0.004450120188611526
0.5920000000000004 -0.009886125514375947 -0.008313342285397467
0.6000000000000004 -0.009489630989688582 -0.01262476973691611
0.6080000000000004 -0.008845066772337607 -0.01329476610170688
0.6160000000000004 -0.007821637152166633 -0.009711614154189042
0.6240000000000004 -0.0066853518327931565 -0.005531907027720205
0.6320000000000005 -0.005838743109375896 -0.004567207618149323
0.6400000000000005 -0.005406565729246258 -0.006753527564656693
0.6480000000000005 -0.005148027629692165 -0.008631668642818138
0.6560000000000005 -0.0047608381579668495 -0.007448746876329801
0.6640000000000005 -0.0042097911526086575 -0.004116157882500472
0.6720000000000005 -0.0037259491241947947 -0.0019097228856900447
